gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000031878	Nae1	113.0	54.0	223.0	26.0	205.0	51.0	145.0	40.0
ENSMUSG00000090570	Gm17041	3.0	3.0	1.0	1.0	2.0	0.0	1.0	2.0
ENSMUSG00000022587	Ly6e	1550.0	1324.0	2810.0	365.0	2639.0	721.0	1546.0	720.0
ENSMUSG00000036206	Sh3bp4	0.0	3.0	4.0	0.0	0.0	0.0	5.0	1.0
ENSMUSG00000028861	Mrps15	188.0	133.0	327.0	40.0	346.0	68.0	215.0	89.0
ENSMUSG00000027243	Harbi1	8.0	8.0	14.0	4.0	18.0	3.0	9.0	6.0
ENSMUSG00000030393	Zik1	6.0	3.0	9.0	3.0	13.0	1.0	7.0	2.0
ENSMUSG00000021585	Cast	796.0	613.0	1250.0	197.0	1221.0	332.0	893.0	331.0
ENSMUSG00000026082	Rev1	57.0	46.0	91.0	15.0	110.0	24.0	59.0	30.0
ENSMUSG00000097497	Gm26652	2.0	2.0	4.0	0.0	6.0	1.0	3.0	1.0
ENSMUSG00000029563	Foxp2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001445	Mrpl10	71.0	47.0	86.0	9.0	132.0	35.0	73.0	34.0
ENSMUSG00000045519	Zfp560	57.0	38.0	105.0	20.0	100.0	32.0	84.0	22.0
ENSMUSG00000020831	0610010K14Rik	66.0	52.0	147.0	20.0	131.0	53.0	82.0	35.0
ENSMUSG00000032018	Sc5d	164.0	142.0	326.0	42.0	290.0	61.0	140.0	66.0
ENSMUSG00000038213	Tapbpl	273.0	147.0	403.0	70.0	337.0	112.0	241.0	134.0
ENSMUSG00000036052	Dnajb5	9.0	5.0	12.0	2.0	11.0	9.0	13.0	1.0
ENSMUSG00000040841	Six5	1.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0
ENSMUSG00000027695	Pld1	3.0	2.0	5.0	1.0	8.0	6.0	8.0	4.0
ENSMUSG00000033088	Triobp	71.0	65.0	132.0	19.0	145.0	42.0	92.0	35.0
ENSMUSG00000058145	Adamts17	3.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0
ENSMUSG00000031161	Hdac6	19.0	13.0	50.0	2.0	42.0	6.0	29.0	9.0
ENSMUSG00000104903	Gm43707	4.0	2.0	4.0	2.0	2.0	1.0	5.0	4.0
ENSMUSG00000038463	Olfml2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000057531	Dtnbp1	130.0	111.0	273.0	26.0	281.0	81.0	225.0	89.0
ENSMUSG00000042293	Gm5617	17.0	7.0	33.0	0.0	25.0	4.0	14.0	6.0
ENSMUSG00000013367	Iglon5	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000030036	Mogs	47.0	42.0	101.0	14.0	87.0	21.0	39.0	26.0
ENSMUSG00000070390	Nlrp1b	3.0	0.0	5.0	2.0	4.0	4.0	4.0	1.0
ENSMUSG00000039457	Ppl	0.0	0.0	2.0	0.0	1.0	1.0	3.0	2.0
ENSMUSG00000034863	Ano8	4.0	2.0	8.0	3.0	12.0	3.0	5.0	2.0
ENSMUSG00000117324	Gm32432	0.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0
ENSMUSG00000074364	Ehd2	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0
ENSMUSG00000027194	Ttc17	309.0	214.0	508.0	71.0	464.0	119.0	339.0	102.0
ENSMUSG00000034501	Pcnx4	23.0	11.0	43.0	9.0	39.0	9.0	40.0	13.0
ENSMUSG00000114575	Gm47814	0.0	0.0	2.0	1.0	4.0	0.0	2.0	1.0
ENSMUSG00000105535	Gm43077	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0
ENSMUSG00000037608	Bclaf1	430.0	429.0	755.0	126.0	742.0	227.0	542.0	244.0
ENSMUSG00000039725	Trp53rka	33.0	20.0	49.0	3.0	54.0	23.0	27.0	17.0
ENSMUSG00000111205	Gm39307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000021635	Rad17	103.0	69.0	169.0	23.0	160.0	28.0	104.0	31.0
ENSMUSG00000062729	Ppox	38.0	25.0	68.0	4.0	62.0	21.0	44.0	14.0
ENSMUSG00000106219	5830416I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000030663	1110004F10Rik	164.0	136.0	309.0	45.0	283.0	103.0	217.0	90.0
ENSMUSG00000111821	Gm48545	2.0	4.0	2.0	2.0	8.0	0.0	6.0	3.0
ENSMUSG00000059981	Taok2	128.0	90.0	222.0	35.0	176.0	47.0	107.0	31.0
ENSMUSG00000022385	Gtse1	16.0	9.0	9.0	5.0	9.0	1.0	7.0	7.0
ENSMUSG00000042377	Fam83g	0.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0
ENSMUSG00000087679	Tmem250-ps	8.0	3.0	27.0	2.0	16.0	4.0	11.0	3.0
ENSMUSG00000025940	Tmem70	42.0	31.0	68.0	13.0	77.0	21.0	44.0	22.0
ENSMUSG00000067229	Cyp2c66	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0
ENSMUSG00000040586	Ofd1	96.0	58.0	119.0	20.0	121.0	31.0	71.0	41.0
ENSMUSG00000031220	Awat2	0.0	1.0	5.0	0.0	3.0	0.0	3.0	1.0
ENSMUSG00000000903	Vpreb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000048000	Gigyf2	318.0	207.0	548.0	65.0	515.0	93.0	328.0	118.0
ENSMUSG00000053600	Zfp472	108.0	76.0	191.0	34.0	144.0	41.0	107.0	52.0
ENSMUSG00000040268	Plekha1	31.0	26.0	70.0	12.0	50.0	7.0	43.0	19.0
ENSMUSG00000032344	Cgas	40.0	35.0	61.0	8.0	56.0	15.0	60.0	20.0
ENSMUSG00000039754	Alkbh4	72.0	49.0	97.0	14.0	104.0	29.0	77.0	31.0
ENSMUSG00000048332	Lhfp	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
ENSMUSG00000006307	Kmt2b	100.0	70.0	179.0	34.0	156.0	42.0	105.0	49.0
ENSMUSG00000053754	Chd8	335.0	238.0	575.0	90.0	562.0	127.0	378.0	129.0
ENSMUSG00000029165	Agbl5	17.0	12.0	19.0	5.0	9.0	5.0	22.0	7.0
ENSMUSG00000050232	Cxcr3	170.0	136.0	260.0	35.0	145.0	30.0	161.0	77.0
ENSMUSG00000060771	Tsga10	8.0	13.0	31.0	2.0	21.0	7.0	27.0	2.0
ENSMUSG00000039376	Synpo2l	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSG00000085846	Gm15597	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000028459	Cd72	22.0	13.0	33.0	11.0	40.0	11.0	21.0	12.0
ENSMUSG00000005732	Ranbp1	264.0	233.0	562.0	54.0	542.0	120.0	362.0	132.0
ENSMUSG00000018846	Pank3	136.0	101.0	196.0	28.0	168.0	43.0	105.0	62.0
ENSMUSG00000024130	Abca3	39.0	38.0	59.0	10.0	43.0	16.0	30.0	12.0
ENSMUSG00000043252	Tmem64	69.0	54.0	117.0	16.0	82.0	20.0	52.0	16.0
ENSMUSG00000046634	Pkd1l1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000001054	Rmnd5b	143.0	164.0	296.0	44.0	266.0	65.0	204.0	77.0
ENSMUSG00000034243	Golgb1	341.0	257.0	585.0	111.0	543.0	132.0	364.0	144.0
ENSMUSG00000104900	4930596I21Rik	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000070493	Chchd2	376.0	305.0	705.0	101.0	647.0	278.0	447.0	155.0
ENSMUSG00000052712	BC004004	130.0	89.0	253.0	43.0	249.0	52.0	131.0	49.0
ENSMUSG00000091705	H2-Q2	9.0	12.0	15.0	1.0	20.0	3.0	25.0	7.0
ENSMUSG00000022112	Gpc5	1.0	1.0	3.0	0.0	2.0	0.0	2.0	1.0
ENSMUSG00000037010	Apln	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000062169	Cnih4	82.0	48.0	141.0	19.0	113.0	38.0	94.0	27.0
ENSMUSG00000039851	4932438H23Rik	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0
ENSMUSG00000021278	Amn	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000002325	Irf9	189.0	130.0	267.0	33.0	247.0	75.0	212.0	92.0
ENSMUSG00000030849	Fgfr2	118.0	74.0	203.0	43.0	161.0	70.0	120.0	61.0
ENSMUSG00000106978	N4bp2os	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000023262	Acy1	8.0	9.0	9.0	5.0	12.0	5.0	7.0	8.0
ENSMUSG00000020696	Rffl	10.0	10.0	31.0	5.0	18.0	11.0	19.0	8.0
ENSMUSG00000012535	Tnpo3	440.0	355.0	753.0	99.0	777.0	178.0	489.0	192.0
ENSMUSG00000085311	Gm15445	3.0	2.0	6.0	2.0	3.0	2.0	4.0	2.0
ENSMUSG00000097793	Gm17259	1.0	4.0	11.0	4.0	9.0	2.0	3.0	2.0
ENSMUSG00000005705	Agrp	10.0	2.0	8.0	2.0	14.0	0.0	6.0	7.0
ENSMUSG00000035314	Gdpd5	45.0	64.0	119.0	17.0	86.0	37.0	80.0	37.0
ENSMUSG00000021678	F2rl1	25.0	16.0	51.0	7.0	29.0	6.0	14.0	7.0
ENSMUSG00000031016	Wee1	29.0	21.0	46.0	12.0	57.0	12.0	61.0	17.0
ENSMUSG00000031012	Cask	43.0	23.0	44.0	9.0	44.0	19.0	37.0	20.0
ENSMUSG00000037364	Srrt	254.0	174.0	403.0	63.0	374.0	86.0	249.0	105.0
ENSMUSG00000064280	Ccdc146	6.0	4.0	0.0	1.0	6.0	2.0	3.0	1.0
ENSMUSG00000024887	Asah2	15.0	11.0	19.0	3.0	19.0	11.0	23.0	4.0
ENSMUSG00000046876	Atxn1	3476.0	2155.0	5374.0	780.0	5615.0	1206.0	3766.0	1378.0
ENSMUSG00000102055	Gm28913	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000069808	Fam57a	26.0	31.0	63.0	15.0	46.0	13.0	53.0	13.0
ENSMUSG00000024160	Spsb3	82.0	67.0	142.0	26.0	109.0	44.0	124.0	55.0
ENSMUSG00000021519	Mterf3	85.0	65.0	145.0	30.0	143.0	31.0	94.0	44.0
