gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000024855	Pacs1	279.0	451.0	461.0	639.0	348.0	834.0	342.0	788.0
ENSMUSG00000086196	Gm13571	21.0	18.0	23.0	26.0	7.0	20.0	8.0	20.0
ENSMUSG00000000392	Fap	0.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0
ENSMUSG00000101320	Gm28529	2.0	6.0	10.0	13.0	4.0	9.0	3.0	6.0
ENSMUSG00000051147	Nat2	34.0	54.0	53.0	80.0	71.0	104.0	47.0	97.0
ENSMUSG00000039968	Rsbn1l	719.0	1088.0	1049.0	1501.0	931.0	1937.0	731.0	1782.0
ENSMUSG00000049232	Tigd2	337.0	624.0	558.0	786.0	543.0	1205.0	399.0	906.0
ENSMUSG00000057666	Gapdh	5826.0	6318.0	7495.0	11902.0	4653.0	8516.0	3731.0	10346.0
ENSMUSG00000020131	Pcsk4	44.0	43.0	70.0	58.0	42.0	37.0	17.0	50.0
ENSMUSG00000033486	Catsper2	6.0	11.0	15.0	13.0	10.0	18.0	11.0	23.0
ENSMUSG00000100510	Hand2os1	2.0	1.0	3.0	3.0	0.0	0.0	1.0	0.0
ENSMUSG00000021025	Nfkbia	2993.0	6351.0	5070.0	8162.0	4152.0	9567.0	4679.0	13516.0
ENSMUSG00000033323	Ctdp1	151.0	242.0	217.0	405.0	168.0	460.0	149.0	472.0
ENSMUSG00000110915	Gm36198	2.0	6.0	7.0	5.0	0.0	11.0	2.0	4.0
ENSMUSG00000034416	Pkd1l2	0.0	3.0	3.0	3.0	8.0	3.0	2.0	4.0
ENSMUSG00000027678	Ncoa3	293.0	509.0	536.0	663.0	384.0	926.0	327.0	913.0
ENSMUSG00000042814	Mcts2	5.0	12.0	7.0	11.0	3.0	8.0	5.0	12.0
ENSMUSG00000116371	Gm34284	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0
ENSMUSG00000086209	4933405E24Rik	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
ENSMUSG00000024043	Arhgap28	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000038034	Igsf8	124.0	241.0	186.0	306.0	126.0	289.0	162.0	380.0
ENSMUSG00000038298	Pdzk1	3.0	1.0	4.0	1.0	1.0	1.0	2.0	11.0
ENSMUSG00000042590	Ipo11	57.0	117.0	113.0	166.0	136.0	185.0	46.0	180.0
ENSMUSG00000070385	Ampd1	3.0	2.0	6.0	45.0	18.0	79.0	6.0	29.0
ENSMUSG00000102540	Gm38134	2.0	1.0	0.0	5.0	0.0	2.0	1.0	0.0
ENSMUSG00000044086	Lmod3	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000047721	Bola2	1537.0	2483.0	2609.0	4146.0	2167.0	4906.0	1152.0	3857.0
ENSMUSG00000028362	Tnfsf8	266.0	332.0	318.0	438.0	331.0	412.0	161.0	413.0
ENSMUSG00000031620	Iqcm	1.0	2.0	1.0	3.0	3.0	3.0	1.0	3.0
ENSMUSG00000028842	Ago3	277.0	519.0	419.0	717.0	355.0	912.0	284.0	787.0
ENSMUSG00000040877	Wdr25	16.0	25.0	21.0	48.0	22.0	42.0	13.0	37.0
ENSMUSG00000035666	Gtf3c4	27.0	48.0	45.0	77.0	34.0	95.0	27.0	119.0
ENSMUSG00000070737	Tmem35b	31.0	59.0	47.0	84.0	56.0	80.0	43.0	72.0
ENSMUSG00000111371	Gm47162	10.0	11.0	10.0	32.0	15.0	32.0	13.0	25.0
