gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000040771	Oard1	861.0	1058.0	732.0	561.0	1179.0	827.0	1108.0	681.0
ENSMUSG00000048911	Rnf24	224.0	437.0	270.0	181.0	446.0	529.0	516.0	297.0
ENSMUSG00000020327	Fgf22	3.0	0.0	2.0	1.0	1.0	2.0	3.0	3.0
ENSMUSG00000010057	Nprl2	731.0	974.0	689.0	494.0	1021.0	786.0	1086.0	683.0
ENSMUSG00000032737	Inppl1	118.0	145.0	95.0	66.0	146.0	125.0	160.0	117.0
ENSMUSG00000018909	Arrb1	447.0	702.0	387.0	408.0	615.0	483.0	554.0	433.0
ENSMUSG00000071342	Lsmem1	1.0	0.0	1.0	1.0	4.0	1.0	1.0	1.0
ENSMUSG00000107730	Gm44238	6.0	11.0	4.0	7.0	7.0	4.0	3.0	6.0
ENSMUSG00000038646	Ramac	4007.0	5114.0	3451.0	2904.0	4427.0	3772.0	4871.0	3309.0
ENSMUSG00000043872	Zmym1	426.0	473.0	363.0	262.0	449.0	363.0	505.0	286.0
ENSMUSG00000021180	Rps6ka5	232.0	332.0	236.0	176.0	327.0	313.0	270.0	222.0
ENSMUSG00000079186	Gzmc	1214.0	3400.0	2655.0	1892.0	4171.0	2409.0	1641.0	2917.0
ENSMUSG00000034354	Mtmr3	625.0	808.0	548.0	383.0	804.0	586.0	728.0	481.0
ENSMUSG00000029830	Svopl	1.0	0.0	2.0	4.0	0.0	2.0	0.0	1.0
ENSMUSG00000002996	Hbp1	1725.0	1966.0	1449.0	1082.0	1810.0	1359.0	1700.0	1216.0
ENSMUSG00000021929	Kpna3	817.0	1044.0	765.0	553.0	1202.0	890.0	1138.0	726.0
ENSMUSG00000041607	Mbp	1366.0	1560.0	1422.0	836.0	1593.0	1495.0	1646.0	812.0
ENSMUSG00000106112	Gm43434	2.0	1.0	3.0	3.0	11.0	1.0	10.0	0.0
ENSMUSG00000039917	Rhbdd2	427.0	565.0	385.0	285.0	556.0	351.0	566.0	365.0
ENSMUSG00000113094	Gm47447	8.0	10.0	13.0	7.0	8.0	13.0	8.0	8.0
ENSMUSG00000062397	Zfp706	9247.0	12043.0	7980.0	6026.0	11527.0	9385.0	11860.0	7615.0
ENSMUSG00000027035	Cers6	905.0	1281.0	937.0	688.0	1511.0	1023.0	1508.0	738.0
ENSMUSG00000024936	Kcnk7	603.0	868.0	620.0	427.0	810.0	621.0	727.0	440.0
ENSMUSG00000022876	Samsn1	10935.0	11545.0	8478.0	7789.0	13997.0	10112.0	9875.0	6114.0
ENSMUSG00000026028	Trak2	523.0	642.0	464.0	383.0	725.0	537.0	746.0	433.0
ENSMUSG00000035951	Ascl3	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
ENSMUSG00000045216	Hs6st1	66.0	102.0	88.0	61.0	73.0	75.0	90.0	71.0
ENSMUSG00000010936	Vac14	348.0	448.0	300.0	237.0	443.0	435.0	465.0	306.0
ENSMUSG00000067369	Trmt2b	705.0	735.0	525.0	402.0	828.0	572.0	756.0	489.0
ENSMUSG00000021846	Peli2	7.0	13.0	4.0	14.0	13.0	5.0	13.0	6.0
ENSMUSG00000030245	Golt1b	1441.0	1948.0	1291.0	944.0	1873.0	1448.0	1904.0	1051.0
ENSMUSG00000043531	Sorcs1	39.0	148.0	53.0	22.0	114.0	41.0	71.0	18.0
ENSMUSG00000035142	Nubpl	209.0	261.0	186.0	123.0	255.0	181.0	249.0	174.0
ENSMUSG00000076484	Trbj1-2	140.0	165.0	193.0	83.0	108.0	67.0	116.0	51.0
ENSMUSG00000032021	Crtam	521.0	671.0	589.0	469.0	641.0	569.0	1060.0	435.0
ENSMUSG00000097017	Gm26707	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
ENSMUSG00000086862	Gm13546	8.0	10.0	8.0	3.0	9.0	7.0	13.0	11.0
ENSMUSG00000115976	Gm31462	14.0	16.0	17.0	3.0	23.0	18.0	27.0	13.0
ENSMUSG00000032436	Cmtm7	9616.0	10973.0	6896.0	5254.0	12085.0	8917.0	13424.0	8496.0
ENSMUSG00000054074	Skida1	16.0	13.0	7.0	7.0	13.0	14.0	15.0	11.0
ENSMUSG00000117000	Gm32509	11.0	17.0	8.0	12.0	28.0	29.0	34.0	10.0
ENSMUSG00000042419	Nfkbil1	838.0	1112.0	712.0	521.0	1189.0	814.0	1333.0	787.0
ENSMUSG00000015023	Ddx19a	857.0	1182.0	860.0	683.0	1221.0	1000.0	1285.0	851.0
ENSMUSG00000038909	Kat7	1101.0	1328.0	1044.0	722.0	1373.0	1064.0	1456.0	883.0
ENSMUSG00000049985	Ankrd55	17.0	39.0	7.0	22.0	31.0	21.0	30.0	33.0
ENSMUSG00000090247	Bloc1s1	3129.0	3888.0	2503.0	2210.0	4178.0	3767.0	3629.0	2608.0
ENSMUSG00000055629	B4galnt4	276.0	381.0	286.0	183.0	293.0	263.0	213.0	191.0
ENSMUSG00000040452	Cdh12	8.0	2.0	0.0	4.0	5.0	4.0	3.0	1.0
ENSMUSG00000060036	Rpl3	103758.0	164171.0	99351.0	75174.0	152192.0	122428.0	153075.0	104362.0
ENSMUSG00000019088	Dnase1l1	320.0	409.0	285.0	208.0	413.0	294.0	425.0	263.0
