gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000098322	5830468F06Rik	38.0	30.0	17.0	16.0	22.0	12.0	26.0	55.0
ENSMUSG00000030101	Sumf1	106.0	117.0	56.0	37.0	72.0	54.0	122.0	126.0
ENSMUSG00000020956	Dtd2	106.0	112.0	58.0	46.0	98.0	59.0	107.0	99.0
ENSMUSG00000019773	Fbxo5	37.0	21.0	16.0	17.0	18.0	11.0	22.0	21.0
ENSMUSG00000053113	Socs3	695.0	617.0	262.0	339.0	403.0	260.0	725.0	1396.0
ENSMUSG00000031207	Msn	4504.0	3926.0	2258.0	2143.0	3115.0	1985.0	4509.0	4835.0
ENSMUSG00000108739	Gm45096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000050565	Tor1aip2	1775.0	1724.0	861.0	754.0	1397.0	1072.0	1986.0	1832.0
ENSMUSG00000032883	Acsl3	7.0	11.0	8.0	8.0	4.0	12.0	12.0	28.0
ENSMUSG00000028795	Ccdc28b	27.0	31.0	22.0	18.0	27.0	14.0	41.0	45.0
ENSMUSG00000085808	Gm14718	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000003346	Abhd17a	302.0	316.0	209.0	160.0	244.0	149.0	348.0	304.0
ENSMUSG00000027239	Mdk	3.0	6.0	2.0	4.0	2.0	1.0	6.0	4.0
ENSMUSG00000028476	Reck	77.0	88.0	73.0	33.0	67.0	22.0	79.0	123.0
ENSMUSG00000028889	Yrdc	353.0	373.0	223.0	135.0	257.0	180.0	326.0	401.0
ENSMUSG00000026659	Dusp12	159.0	185.0	76.0	78.0	130.0	63.0	186.0	179.0
ENSMUSG00000024079	Eif2ak2	1185.0	1173.0	699.0	563.0	1006.0	760.0	1543.0	1079.0
ENSMUSG00000027368	Dusp2	5532.0	5806.0	2749.0	2379.0	3971.0	2075.0	5958.0	7469.0
ENSMUSG00000014198	Zfp385c	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0
ENSMUSG00000053119	Chmp3	488.0	402.0	264.0	170.0	337.0	194.0	466.0	454.0
ENSMUSG00000008226	Scrn3	16.0	16.0	6.0	10.0	13.0	7.0	19.0	21.0
ENSMUSG00000064090	Vrk2	278.0	241.0	156.0	130.0	207.0	110.0	264.0	262.0
ENSMUSG00000097640	Gm20033	12.0	2.0	3.0	4.0	2.0	1.0	0.0	3.0
ENSMUSG00000031934	Panx1	650.0	647.0	350.0	256.0	460.0	286.0	697.0	842.0
ENSMUSG00000001943	Vsig2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000032221	Mns1	136.0	137.0	69.0	51.0	81.0	43.0	105.0	118.0
ENSMUSG00000078429	Ctdsp2	99.0	108.0	27.0	53.0	77.0	31.0	77.0	107.0
ENSMUSG00000115773	Gm31458	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000029432	Nipsnap2	173.0	166.0	87.0	81.0	131.0	83.0	184.0	136.0
ENSMUSG00000078866	Zfp970	5.0	2.0	4.0	1.0	2.0	1.0	4.0	1.0
ENSMUSG00000054423	Cadps	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000106371	9530097N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000091474	2610021A01Rik	60.0	67.0	29.0	40.0	46.0	26.0	56.0	58.0
ENSMUSG00000095217	Hist1h2bn	17.0	9.0	10.0	6.0	5.0	4.0	8.0	12.0
ENSMUSG00000043289	Mei4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000043773	1700048O20Rik	30.0	23.0	17.0	7.0	4.0	8.0	21.0	20.0
ENSMUSG00000087273	Gm13203	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
ENSMUSG00000039193	Nlrc4	2.0	1.0	2.0	3.0	1.0	1.0	6.0	1.0
ENSMUSG00000114419	5430414B19Rik	0.0	2.0	0.0	1.0	1.0	1.0	0.0	2.0
ENSMUSG00000036241	Ube2r2	316.0	308.0	175.0	152.0	239.0	189.0	365.0	402.0
ENSMUSG00000025147	Mob2	449.0	551.0	279.0	243.0	350.0	225.0	590.0	573.0
ENSMUSG00000030471	Zdhhc13	90.0	74.0	57.0	39.0	75.0	53.0	101.0	83.0
ENSMUSG00000099190	Gm27188	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
ENSMUSG00000047022	Mipol1	56.0	41.0	30.0	31.0	38.0	26.0	39.0	51.0
ENSMUSG00000022234	Cct5	1581.0	1841.0	972.0	791.0	1402.0	833.0	1927.0	1898.0
ENSMUSG00000035126	Wdr78	34.0	44.0	25.0	22.0	42.0	19.0	38.0	64.0
ENSMUSG00000045625	Pigz	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
ENSMUSG00000003746	Man1a	440.0	458.0	201.0	257.0	396.0	231.0	509.0	634.0
ENSMUSG00000079222	AC132444.1	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0
ENSMUSG00000024180	Tmem8	31.0	29.0	11.0	11.0	30.0	16.0	22.0	34.0
ENSMUSG00000021552	Gkap1	15.0	14.0	1.0	12.0	7.0	2.0	10.0	19.0
ENSMUSG00000095687	Rnaset2a	547.0	524.0	221.0	329.0	409.0	417.0	489.0	600.0
