gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000002205	Vrk3	1993.0	2563.0	1744.0	1759.0	2346.0	2260.0	2591.0	2450.0
ENSMUSG00000038539	Atf5	167.0	183.0	128.0	124.0	165.0	179.0	192.0	172.0
ENSMUSG00000109511	Nup62	823.0	1142.0	792.0	679.0	980.0	1031.0	1265.0	1123.0
ENSMUSG00000074141	Il4i1	12.0	25.0	14.0	11.0	23.0	11.0	30.0	16.0
ENSMUSG00000038520	Tbc1d17	1071.0	1446.0	991.0	921.0	1306.0	1211.0	1323.0	1164.0
ENSMUSG00000011096	Akt1s1	512.0	711.0	455.0	438.0	663.0	622.0	785.0	638.0
ENSMUSG00000002963	Pnkp	1924.0	2612.0	1776.0	1471.0	2532.0	2054.0	2737.0	2102.0
ENSMUSG00000038502	Ptov1	33.0	69.0	37.0	48.0	44.0	97.0	37.0	107.0
ENSMUSG00000002968	Med25	1518.0	2012.0	1467.0	1187.0	1840.0	1633.0	2078.0	1569.0
ENSMUSG00000011658	Fuz	547.0	664.0	468.0	424.0	736.0	516.0	764.0	590.0
ENSMUSG00000060279	Ap2a1	1489.0	1795.0	1375.0	1079.0	1706.0	1329.0	1863.0	1398.0
ENSMUSG00000109324	Prmt1	7143.0	9293.0	6818.0	5208.0	9204.0	7488.0	9845.0	7539.0
ENSMUSG00000087138	Gm15545	106.0	138.0	124.0	120.0	128.0	127.0	130.0	109.0
ENSMUSG00000003190	Bcl2l12	923.0	1118.0	789.0	572.0	1231.0	934.0	1220.0	820.0
ENSMUSG00000003184	Irf3	1420.0	1729.0	1240.0	1147.0	1771.0	1507.0	1824.0	1473.0
ENSMUSG00000038406	Scaf1	1580.0	1919.0	1454.0	1213.0	1920.0	1652.0	1989.0	1592.0
ENSMUSG00000038387	Rras	236.0	313.0	220.0	196.0	362.0	264.0	306.0	257.0
ENSMUSG00000046574	Prr12	518.0	746.0	554.0	455.0	808.0	629.0	848.0	679.0
ENSMUSG00000007837	Prrg2	130.0	151.0	94.0	113.0	147.0	115.0	161.0	124.0
